(511 x 1023) (1023 x 4094) (511 x 4094),'0.008554,'0.287404,'0.011836
(600 x 1023) (1023 x 4094) (600 x 4094),'0.008321,'0.321265,'0.012947
(700 x 1023) (1023 x 4094) (700 x 4094),'0.008943,'0.325993,'0.015094
(800 x 1023) (1023 x 4094) (800 x 4094),'0.008746,'0.397108,'0.017277
(511 x 1023) (1023 x 5000) (511 x 5000),'0.009712,'0.358625,'0.013516
(511 x 1023) (1023 x 6000) (511 x 6000),'0.011959,'0.357753,'0.016382
(511 x 1023) (1023 x 7000) (511 x 7000),'0.013470,'0.404769,'0.018684
(511 x 100) (100 x 4094) (511 x 4094),'0.000915,'0.013713,'0.011413
(511 x 500) (500 x 4094) (511 x 4094),'0.004273,'0.169082,'0.011129
(511 x 1000) (1000 x 4094) (511 x 4094),'0.008532,'0.282325,'0.011552
